question,question_type,rewritten_query,num_ground_truths,dense_retrieved,graph_retrieved,ground_truth_ids,dense_ids,graph_ids,error,dense_hit_5,dense_recall_5,dense_precision_5,graph_hit_5,graph_recall_5,graph_precision_5,hit_delta_5,recall_delta_5,precision_delta_5,dense_hit_10,dense_recall_10,dense_precision_10,graph_hit_10,graph_recall_10,graph_precision_10,hit_delta_10,recall_delta_10,precision_delta_10,dense_hit_20,dense_recall_20,dense_precision_20,graph_hit_20,graph_recall_20,graph_precision_20,hit_delta_20,recall_delta_20,precision_delta_20,dense_hit_30,dense_recall_30,dense_precision_30,graph_hit_30,graph_recall_30,graph_precision_30,hit_delta_30,recall_delta_30,precision_delta_30,dense_hit_50,dense_recall_50,dense_precision_50,graph_hit_50,graph_recall_50,graph_precision_50,hit_delta_50,recall_delta_50,precision_delta_50
What is Faneuil Hall's historical significance?,metadata,historical significance of Faneuil Hall,4,50,50,p2677g44k|7m01kw73f|v405sz97p|xp68kq91r,qv340878v|rv049h825|sf26gh19z|vd673d86v|f4758t40f|h128vt42p|x920p459q|1v53sm89s|kd17m6608|g445m2770|bk12gz52v|rb694r511|pk02kq29c|90200d25v|r2082733b|2r372b05n|gx41v546v|7h14j5010|6h447g60r|qj72wj62m|s752dh86t|kp78ps60f|9g555005q|qr46zf638|2z113w76g|wm11fz037|k643jb59b|ns06bk99z|69705j70d|wh24f650c|8p58ws439|tm70v829q|7h14jb04v|1257j504j|n8715z142|0g35bw19s|nz80d293w|qj72wt68x|xg94r3144|p267f4659|7940g782m|qn59xg84c|d217z363b|1257j482q|7m01k7549|3n20b4162|h128vr93r|t148nw932|df662m80r|sj13h930k,028777911|08619b42f|02877c05s|08619b237|08619817p|0c48b7152|08619c072|00006f605|0g35bk19x|0c48b619z|00006n28n|05748b74v|0c48b749w|086194761|00006k928|057489919|02877c01p|05748c564|0c48b570q|02877d78h|05748b21t|0c48b7993|05748968h|0c48b7038|05748978r|0c48b8824|05748d09z|0c48b3866|0c48b303f|02877f501|0c48b2037|08619125x|05748b54c|057487615|00006n505|00006b96x|02877g95k|00006m44t|086193527|057489898|08619c004|0c489z72v|086190502|057484544|00006m69p|086196712|08619971p|02877942h|086198863|05748c85k,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
What was the Big Dig and why was it significant?,metadata,What was the Big Dig and why was it significant,4,50,17,t722qd95f|ww72m211q|4q77fs75b|cn69pp161,n87168428|4j03md10g|8049pj779|8p58wz96c|3f468k45g|z89109241|v6931x79j|tb09rq65q|f4758x45f|z029ws57s|086192920|q811t7313|ww72jr09g|qz211608m|nc5871305|qb98tr179|3f468r30w|tt44xb625|6q1891912|n5845h719|qz2114841|x633nf59q|pk02kp63g|w3769m96r|v4060m982|cj82sj33d|08619276m|nk3290505|kd17m471c|c247n5405|1257j647j|jd479671h|ft84hc57g|b277b431q|4m90nk86p|cn69tv944|qv3408947|3t94d5299|2b88xq957|pg15jt82n|00006b003|s752ds813|4b29jz366|mc87xd33v|63963m85q|v4060x40h|1257j7987|4x51qx588|6d576j74n|d7921018q,jq08cx491|j0995q64g|cc08qv05d|g732mx563|n0103c910|gx41v011q|qv340869w|xk81s210p|8049pn875|kk91nw32r|9w038h353|qb98tp516|9c684707v|q811sx37q|b277b444s|z316x889t|m613vf32t,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Who was William Lloyd Garrison and what did he do?,metadata,William Lloyd Garrison biography and achievements,4,50,50,2514p017p|8c97n842c|70796c89x|2v23x8010,vx027v435|df662m86d|7m01k139z|6t059t42k|ht254535w|90200n569|nv93cn05x|7w62nw88q|jm21c881w|v4060w35f|mc87x917v|ns06bt15c|rf565m43c|1j92pv18d|5999vt18p|95942h04p|0p09dt32x|wh24ff32w|4m90ng60x|ws85j726b|j3866s70w|9c683x24g|n8716151s|j3866h928|3x81f657j|j0995x82n|90200q37h|7w62nv923|sx61n4307|8g84v4720|7s75mx86h|hx1253563|7653f9540|h128w1708|rx91b175p|rx91b9963|8p58wr89q|qn59xs049|n0103n70w|08619b42f|4168g3751|xd07qg42r|9k426139m|r78240931|7w62nx411|pv63pm48s|gf06pp896|5138s074d|9c683q74f|9g554z80w,028777911|08619817p|0c48b749w|08619b42f|08619c072|02877d78h|0c489z72v|00006f605|086190502|02877c05s|00006d98w|0c48b7152|057484544|0c48b619z|0g35bk19x|00006b96x|05748b74v|0c48b7038|0c48b2037|086196712|086194761|00006q75f|00006n70n|05748b21t|08619125x|08619b237|02877c01p|05748978r|05748c564|0c48b570q|057489898|0c48bb02m|057487615|057489919|05748182p|0c48b7993|0c48b3866|0c48b8824|00006n505|00006f185|05748404x|00006n28n|00006f142|0c48b378h|08619c004|05748968h|0c489z16h|05748944x|08619b93x|00006h68s,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Who were the Boston Americans?,metadata,Boston Americans baseball team history,4,50,50,sf268644d|sf268560k|sf268672k|sf268850z,jh34b780j|td96sv58z|cc08qs04q|jd4798263|q237r652x|8g84tz112|p841h771s|ns06bq43x|q811sx002|j67375922|mp490z85r|90200f08d|mw232g10h|8049pn68z|jw82ft54z|nk328v085|4455gk90q|p554g8005|m900w7714|x920pp13d|6q1893885|qn59xj92g|0v83g961z|th83tm37m|8p58wr66d|t722qd56r|cz30x4470|r49539418|nk328q692|7p88kz37x|3x81f2245|rj436s85s|gb19np83p|np19b0509|r2082855k|ms361w43p|f4758w546|5712th97c|4f16kn03n|0p09dv791|sf26gm74n|d217z150v|sj13h930k|cf95s1975|cc08r1830|fj23df69v|gq67rw494|9c684078c|qv340k02c|gm80r7365,028777911|086190502|057484544|08619125x|00006f605|05748182p|w950c9390|08619817p|00006b470|02877d78h|4455gt18f|9c683w41x|0c489x568|086194761|qb98tq28m|6m318375z|02877c05s|05748c564|0c48b749w|hh6415458|7w62nj81q|0g35bk19x|0c48b619z|7366dd968|0c48b7038|0c48b1252|00006n70n|08619b42f|057487615|pg15js573|h989zc522|086196712|sf26gh51q|08619b237|05748b74v|057489919|2j630g91j|9g554v060|00006d98w|05748078w|6d576837v|31984x58w|00006n505|vd673b86f|f4758w06j|c247n390z|02877c01p|08619c072|0c489x26j|vt156v25c,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Find some newspaper articles about the sinking of the Lusitania during WWI,full_text,newspaper articles about the sinking of the Lusitania during World War I,4,50,50,0v83gc74f|v118zs65j|7d27h447j|4b29jq26h,v118zs65j|q811sx002|pz50q798k|gt54t108r|cc08qs96f|7d27h447j|34855t90w|4x51r0284|q524s2626|9w038f619|93071b00q|4b29jq26h|dz017435m|0v83gc74f|cj82sk43v|tb09rf873|t722qn302|sb39fp36s|4b29jq27s|q811sw901|gx41tx52c|gh93q994m|8p58wr629|gx41tx38j|qb98tr41c|ws85hx340|9c683z19t|1c18mp23j|w3769h319|1c18mp85j|m326tf43g|x346mh580|05748285q|v6931n03j|j3866k42g|5425sm796|rb694q90h|sx61mx68r|vd673c508|qf85vn24z|cv43w854c|pk02km365|5712tj438|gt54t174b|n0103d496|4j03mc52s|x346mh377|9p296n313|jq08cx491|sn00jb65r,028777911|0c489z72v|00006b96x|08619125x|00006b470|057484544|00006f605|086190502|05748182p|02877c05s|086193527|0g35bk19x|02877c01p|02877942h|05748300m|00006h68s|00006c433|9c683w41x|08619817p|0c48b7152|05748404x|0c48b303f|00006d98w|4455gt18f|0c48b619z|00006n28n|05748b74v|08619260q|7w62nj81q|0c48b570q|0c48b1252|02877f501|05748280b|057487615|00006f185|086194761|0c48bb02m|05748285q|0c48b749w|0c48b3866|0c48b133r|05747v752|05748b21t|0c489x568|0c48b121z|0c48b1537|057489919|05748434n|00006q75f|0c489z709,,1,0.25,0.2,0,0.0,0.0,-1,-0.25,-0.2,1,0.5,0.2,0,0.0,0.0,-1,-0.5,-0.2,1,1.0,0.2,0,0.0,0.0,-1,-1.0,-0.2,1,1.0,0.1333,0,0.0,0.0,-1,-1.0,-0.1333,1,1.0,0.08,0,0.0,0.0,-1,-1.0,-0.08
Were there any people from Boston on the Titanic when it sank?,full_text,Boston passengers on the Titanic when it sank,4,50,50,sn00j357m|nc586t329|xd07q011v|5138rj364,nc586t329|5138rj35v|sn00j357m|xs55th042|4742hd58s|jh349z29r|p554fr635|5138rj364|xd07q011v|x920p480z|dj533b64k|zw135934t|v6931d23k|ks65qf739|nk328j666|mk61zp75k|1g05nf38k|5999vb05q|7940g2908|gt54st03z|h989z617f|c247mx708|8w32zb47f|v4060c89n|j6737604n|qr46z739z|q524rv390|v4060c805|0k22cf67m|qn59x964v|mw232886m|cc08qk150|p554fr61m|ks65qf68f|gm80r0990|bk12gg60n|gh93q3577|0p09dc33h|dz016w71v|z316x889t|61092f38g|63963c769|v118zk54s|fq97g081d|1z40sz02p|ms361b62k|wh24dz93j|wh24dz910|08618t79t|qf85vf225,028777911|00006f605|0c48b749w|08619b237|08619b42f|02877c05s|08619c072|057484544|08619817p|0c48b570q|0c48b619z|086190502|0c48b8824|0c48b7152|05748c564|02877d78h|08619125x|05748b54c|0c48b7993|0c48b7038|05748b21t|05748b74v|00006n505|086194761|0c489z72v|00006q75f|05748978r|00006n70n|02877c01p|0c48b303f|057489919|00006n28n|05748968h|0g35bk19x|00006d98w|05748182p|0c48bb02m|057489898|086196712|0c48b2037|08619c004|00006b96x|0c48b378h|05748944x|057487615|00006m69p|05748d09z|02877f501|08619b93x|05748c85k,,1,0.5,0.4,0,0.0,0.0,-1,-0.5,-0.4,1,1.0,0.4,0,0.0,0.0,-1,-1.0,-0.4,1,1.0,0.2,0,0.0,0.0,-1,-1.0,-0.2,1,1.0,0.1333,0,0.0,0.0,-1,-1.0,-0.1333,1,1.0,0.08,0,0.0,0.0,-1,-1.0,-0.08
What information can you find about the Coconut Grove fire disaster?,metadata,Coconut Grove fire disaster information,4,50,50,x346fh915|x346fh99c|7s75dh42x|7s75dh42x,5712tj23s|ns06bm00h|fj23dg51m|w950cc46t|s465cz67f|f7629s268|mk61zx52q|7p88m317f|sx61mx99r|7m01k311p|4t64q333r|tt44x067g|x346mj853|g445kw45h|d79216927|x920pc438|5d86wc98s|mc87x362f|b277b670t|br86jj84m|rr178h277|sj13hc20r|sn00jk770|th83tk29q|sf26gm86f|kp78pw31m|n2974p57n|th83t8589|q524sd27p|0g35bx521|1257j967n|w950cn723|rn307k933|h702z011m|vq286344b|gx41v189t|2z114g412|ms361k02k|0z70hf27b|c247nc259|j0995x09n|n2974h84h|8s45z1107|fn10fm61j|3t94d636x|sf26gm77g|c821q7060|zk5235730|nk329242w|db792202c,00006b470|028777911|7w62nj81q|rr1782004|057484544|vt156p20z|4t64px74s|gh93q885f|00006f605|08619125x|086190502|7079cj35h|08619b42f|05748182p|00006d98w|w950c9390|05748c564|02877c05s|qb98tq28m|0c48b619z|hh6415458|05748b74v|rf565k061|086194761|0g35bk19x|sf26gh51q|4455gt18f|6m318375z|n0103c93j|057487615|08619b237|00006n28n|7366dd968|n0103c910|05748b21t|08619817p|057489919|08619c072|0c48b7038|vd673b86f|00006b96x|0c48b749w|0c48b2037|2j630g91j|0c48b7152|0c48b3866|0c48b7993|05748968h|00006n505|f4758w06j,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
"Find some information about Charles Ponzi, including newspaper articles and photographs if possible",full_text,Charles Ponzi newspaper articles and photographs,5,50,50,6682zs44c|b8515n701|sb39fz533|xs55tr436|6t059v54k,wd37d830f|66834h272|vh544b028|kw52rm850|fn10ff22t|n0103h89s|988135125|pn89mn267|tt44x322r|gb19np83p|x059kp100|h415wp91n|wm11g1353|6t059v54k|n2974f15p|xs55tr436|q237r6294|df662s13x|pg15jr83h|xg94r753n|zg651x69x|s178c000k|5425sw16k|5425sn42r|x633nj70b|mg74xz48g|8w32zk76b|4m90n6209|4m90n8830|pk02kq51w|ks65qm52k|9z909g670|cr56vh94x|4455gv936|5712tf791|4j03mg69k|v4060n74p|k356hj222|qr46zh08m|w0898m975|jd4795698|p554g129p|dv146335j|3t94d373f|2z1145416|5d86wc88j|7m01k179x|m326tg46h|b277b887d|p554g0642,028777911|086190502|08619c072|08619817p|08619b42f|02877d78h|08619125x|0c48b749w|02877c05s|00006f605|057484544|05748c564|0g35bk19x|08619b237|0c48b619z|00006b470|0c48b7152|00006n70n|05748b74v|086194761|0c48b7993|00006n28n|057487615|0c48b2037|0c48b7038|00006n505|086196712|05748182p|0c48b3866|05748978r|057489919|05748b21t|02877c01p|00006b96x|0c48b570q|05748968h|7w62nj81q|0c48b303f|0c48b8824|0c489z72v|00006m69p|00006k928|00006d98w|057489898|0c489z16h|02877g95k|02877f501|086193527|00006m44t|02877b227,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.4,0.1,0,0.0,0.0,-1,-0.4,-0.1,1,0.4,0.0667,0,0.0,0.0,-1,-0.4,-0.0667,1,0.4,0.04,0,0.0,0.0,-1,-0.4,-0.04
"I am writing a report about historical presidential assassinations, can you help me find some sources?",full_text,historical presidential assassinations,4,50,10,5x21v606k|cn69tz48n|3b597p07t|bz60m1252,d7921449j|f1888704c|63963v96p|gh93q989r|8s45xq815|5138rr74s|q811sx51j|db791s56v|959428314|2z1144984|pc28hv80f|z029wr747|ks65qp784|7366dm01z|w0898n190|2r3729975|9c684688v|kw52rq23m|31984x81p|rn307f23k|ft84hb18k|gm80r874s|cj82sx293|jh34b617k|3t94d976h|3x81f865n|xk81s0949|6t05b244r|d7920w349|hq383689j|c247n520p|f18880188|00006n07w|ht254498z|rj436n379|pv63pp753|s752dr540|s178c2442|cn69tt44q|rb694s53s|vd673d91q|4168g430w|8336qj34c|th83t8325|rn307g14t|4168fw89z|xs55tv28q|gb19nv98b|m613vn78p|jq08cz25n,j0995q64g|v6931n03j|9c683z59s|kw52rm248|cj82sk82j|34855v34r|7s75mq97s|qv340766v|tb09rg020|bg25fv94w,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
"Find some information about the Bread and Roses strike in Lawrence, Mass., including pictures",full_text,"Bread and Roses strike in Lawrence, Massachusetts including photographs",4,50,50,wd3794346|2801ss217|dz016w71v|1n79q7966,028777911|2227v084q|wm11g3703|x059kr20n|4168fw89z|v6931w82n|fn10fb77s|rv049b17t|2r372c730|q237r832v|sq87k655s|xd07qg805|gt54t4714|5q480b23h|3f468s168|sf26gm74n|5t3519481|rj436t59c|nz80dj22t|jh34b790s|319853451|hm512b900|0g35bt70b|cz30x700q|x920pg76f|8s45xs57h|s752f122j|d7920w862|ks65qs66z|5x222384h|3j339j518|bv73k340q|bz60m8069|6h447d44z|7079cq195|66834g683|3f468h56k|h128w252j|x633n721j|z029wk40c|rb694r775|qn59xk80w|rf565d54n|xd07q870p|3x81f1834|js95f369j|qf85vq12k|sq87jz199|7m01k7905|1c18mr25h,028777911|08619b42f|00006f605|0c48b619z|0c48b8824|02877c05s|0c48b749w|0c48b7038|05748b74v|0c48b570q|05748c564|057484544|08619817p|086190502|08619b237|08619125x|086194761|0c48b7152|08619c072|08619c004|0g35bk19x|05748968h|0c48b7993|00006n505|02877d78h|00006q75f|05748978r|0c48b303f|0c48bb02m|057487615|05748b21t|086196712|00006d98w|08619b93x|057489919|05748b54c|00006n07w|0c48b2037|05748182p|05748c85k|00006n28n|02877c01p|02877g95k|00006m69p|02877f501|05748d09z|0c48b780c|0c48b3866|00006b96x|0c48b378h,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
