id,question,answer,source_ids,num_sources,latency_ms
11,What was the Boston Tea Party and why did it happen?,"The 'Salem Register' is a historical newspaper collection that includes issues from various dates in 1860, relevant to Massachusetts history during the period leading up to significant events related to American independence. It provides a local perspective on the social and political climate in Essex County and may contain information about the historical context of the Boston Tea Party in December 1773.","[""commonwealth:w6639j49n"", ""commonwealth:n8715313m"", ""commonwealth:rj435m73s"", ""commonwealth:3x81d380j"", ""commonwealth:7079bp24n"", ""commonwealth:1j92nn53k"", ""commonwealth:pg15hx360"", ""commonwealth:w0897p51s"", ""commonwealth:2801vz014"", ""commonwealth:zg6513486""]",10,3629
12,What events took place in Boston during the American Revolution?,"- Copy of the London Gazette from Saturday, October 6, to Tuesday, October 9, 1711 (Unknown): This document narrates the disastrous expedition against Quebec, relevant to the colonial history of Massachusetts.
- Destruction of the schooner Gaspé in the waters of Rhode Island 1772 ((c) 1856): This image depicts the destruction of the schooner Gaspé, involved in colonial maritime events.
- Daily Evening Transcript (Unknown): These newspaper entries provide a contemporary view of life in Boston during the period leading up to the Revolution.","[""commonwealth:p841b617x"", ""commonwealth:rj437f199"", ""commonwealth:4f16h9194"", ""commonwealth:2801tp49g"", ""commonwealth:ht251r79z"", ""commonwealth:qf85sh79c"", ""commonwealth:r207zw60h"", ""commonwealth:5999sb328"", ""commonwealth:td96q900w"", ""commonwealth:zs262g145""]",10,7583
13,Who was Crispus Attucks and what was his role in American history?,"The South Boston Gazette, a historical newspaper, includes articles from various dates in 1850, covering topics related to Boston, Massachusetts, and early American history, which may provide context surrounding the events of the Boston Massacre and figures like Crispus Attucks.","[""commonwealth:mg74th135"", ""commonwealth:pz50ks11b"", ""commonwealth:fq97bt31g"", ""commonwealth:qj72s529s"", ""commonwealth:th83pv75s"", ""commonwealth:zs2616549"", ""commonwealth:vx024d33q"", ""commonwealth:3x819h98z"", ""commonwealth:t722m772k"", ""commonwealth:tt44sk99k""]",10,3710
14,What caused the Great Fire of Boston in 1872?,"The Great Fire of Boston occurred on November 9-10, 1872. The provided context includes various still images and descriptions of the ruins and affected locations in Boston after the fire, showcasing the destruction and aftermath. Specific locations affected included Federal Street and Arch Street, and various notes indicate the extent of the damage and the involvement of significant places like the Bucking and Vroom Company.","[""commonwealth:cj82m653z"", ""commonwealth:zk51wc03c"", ""commonwealth:zk51wb281"", ""commonwealth:zk51wc00j"", ""commonwealth:cf95jj92p"", ""commonwealth:1831cx62h"", ""commonwealth:2801pj69f"", ""commonwealth:cf95jj86j"", ""commonwealth:1831cx58x"", ""commonwealth:cf95jj80w""]",10,3506
15,Find newspaper articles about the abolitionist movement in Boston.,"The context discusses various aspects of the antislavery movements in the United States during the 19th century, including the role of abolitionists, newsletters, and meetings. Notable figures such as Frederick Douglass and the American Anti-Slavery Society are highlighted, along with various societies and literary contributions that emerged during that time.","[""commonwealth:2z110032h"", ""commonwealth:2z111815p"", ""commonwealth:2z1114695"", ""commonwealth:dv144f693"", ""commonwealth:5h740s627"", ""commonwealth:2z10zp85c"", ""commonwealth:2z110008f"", ""commonwealth:2z10zp05f"", ""commonwealth:m900qq384"", ""commonwealth:2v23xv94h""]",10,3737
16,Are there any newspapers covering women’s suffrage in Massachusetts?,"- Women's lib (Unknown): 
- National Woman's Party handbill: Equal representation, Washington, D.C., approximately 1923 ([ca. 1923]): 
- Alice Stone Blackwell ([1935–1943]): 
- Henry T. Schmittkind (The Stratford Company) typed letter signed to Zula Maud Woodhull, Boston, April 8, 1927 (April 8, 1927): 
- Basil King typed letter signed to [Victoria] Woodhull Martin, Cambridge, Mass., November 30, 1925 (November 30, 1925): 
- B.M. Leod autograph note signed to [Victoria Woodhull] Martin, Tenby, Wales, July 18, 1912 (July 18, 1912): 
- M. Townsend Wood autograph letter signed to [Victoria Woodhull Martin], Stoneham, Mass., February 14, 1896 (February 14, 1896): 
- M. Townsend Wood autograph letter signed to Victoria [Woodhull Martin], Stoneham, Mass., December 24, 1889 (December 24, 1889): 
- Jennie Leys autograph letter signed to [Victoria Woodhull] Martin, Melrose Highlands, Mass., May 5, 1897 (May 5, 1897): 
- Jennie Leys autograph letter signed to Victoria Woodhull Martin, Melrose Highlands, Mass., March 2, 1898 (March 2, 1898): ","[""commonwealth:zk523c12h"", ""commonwealth:h989wc149"", ""commonwealth:cc08m395h"", ""commonwealth:h989vk51h"", ""commonwealth:h989vf39d"", ""commonwealth:h989vf63g"", ""commonwealth:h989vm11r"", ""commonwealth:h989vm02s"", ""commonwealth:h989vf73q"", ""commonwealth:h989vf783""]",10,11193
17,Find documents or letters from the Civil War era written by Massachusetts soldiers.,Unexpected response format from model.,"[""commonwealth:s752c952k"", ""commonwealth:3r079s104"", ""commonwealth:pr76m042c"", ""commonwealth:rr176s977"", ""commonwealth:z029tz876"", ""commonwealth:t148md55k"", ""commonwealth:f7628945d"", ""commonwealth:f4757c289"", ""commonwealth:cv43pv32t"", ""commonwealth:w6634452m""]",10,7672
18,Who was Phillis Wheatley and why is she significant in American literature?,"The collection includes letters and documents from notable 19th-century authors and corresponds with themes relevant to the significance of American literature during the Revolutionary War era. Although direct references to Phillis Wheatley are not found, the correspondence discusses the influence of various American poets, the role of women in literature, and expressions of literary identity which mirror Wheatley's contributions.","[""commonwealth:6h445577q"", ""commonwealth:6h444h20g"", ""commonwealth:2z10zh58f"", ""commonwealth:6h443v24g"", ""commonwealth:6h444354t"", ""commonwealth:6h444t52m"", ""commonwealth:6h444g38q"", ""commonwealth:6h444069t"", ""commonwealth:6h443v29v"", ""commonwealth:6h443p235""]",10,3132
19,What role did Frederick Douglass play in Massachusetts history?,"The context includes several letters from the Anti-Slavery collection, highlighting correspondence between key abolitionists, such as Amos Augustus Phelps and others involved in the Massachusetts Abolition Society. Notable figures like Frederick Douglass may have connections through the shared goals and organizations mentioned.","[""commonwealth:5h740s627"", ""commonwealth:6w925x557"", ""commonwealth:5h740q28h"", ""commonwealth:m900pt54z"", ""commonwealth:m900pq949"", ""commonwealth:m900pf991"", ""commonwealth:2z10zd40c"", ""commonwealth:2z110f768"", ""commonwealth:m900q1533"", ""commonwealth:m900pc31z""]",10,2905
20,What did the Boston Public Library look like when it was built?,"- Design for interior decoration, construction of the McKim Building ([ca. 1888–1895]): 
- Blagden St. exterior wall, construction of the McKim Building ([ca. 1888–1895]): 
- Southeast corner of Facade, showing arched second floor windows and cheneaux details, construction of the McKim Building ([ca. 1890–1895]): 
- Periodical room looking toward Boylston St., construction of the McKim Building ([ca. 1890–1895]): 
- Boston Public Library (August 1888–February 1895): 
- Boston Public Library building Copley Square (January 3, 1890–February 1895): 
- Dartmouth St. and Boylston St. sides, construction of the McKim Building ([ca. 1890–1895]): 
- Catalogue room looking towards Blagden St., construction of the McKim Building ([ca. 1888–1895]): 
- View of site from S.S. Pierce Building, construction of the McKim Building ([ca. 1888–1895]): ","[""commonwealth:4b29b955f"", ""commonwealth:4b29b9898"", ""commonwealth:ms35v1541"", ""commonwealth:ms35v084j"", ""commonwealth:7940bz92h"", ""commonwealth:02873w57z"", ""commonwealth:ms35v346r"", ""commonwealth:4b29b9392"", ""commonwealth:ms35v354f"", ""commonwealth:ms35v3268""]",10,8500
21,Who was Andrew Craigie and what role did he play in Cambridge's development?,"The Essex Register includes various entries from 1827 that might not directly mention Andrew Craigie but are relevant for understanding the historical context of Cambridge, Essex County, Massachusetts. The records provide insights into local news and developments which could reflect on figures like Craigie involved in the area's historical narrative and real estate development in the 18th century.","[""commonwealth:x633mg797"", ""commonwealth:sf26fk72q"", ""commonwealth:5x220x19t"", ""commonwealth:bc38cx38x"", ""commonwealth:cr56tg39g"", ""commonwealth:95941805b"", ""commonwealth:qb98st20v"", ""commonwealth:3x81d2568"", ""commonwealth:1c18kr527"", ""commonwealth:fq97f919m""]",10,3342
22,What significant infrastructure project opened in East Cambridge in 1809?,"- Boston. West End and business district from East Cambridge (1928): 
- View of the bridge over Charles River, Massachusetts (1795): 
- Longfellow Bridge, looking toward Boston ([ca. 1930]): 
- Aerial view of Longfellow Bridge, Charles River and Cambridge ([ca. 1971]): ","[""commonwealth:rv045v14d"", ""commonwealth:xp68kk926"", ""commonwealth:668303039"", ""commonwealth:37720p70d"", ""commonwealth:8s45qv70f"", ""commonwealth:pn89hr626"", ""commonwealth:gt54kz882"", ""commonwealth:37720p78m"", ""commonwealth:qv33tx61m"", ""commonwealth:s1784w827""]",10,4194
23,What was the significance of the New England Glass Company in Cambridge's history?,"The New England Glass Company and other glass manufacturing entities were significant in 19th century Cambridge, shaping the local economy and contributing to the city's glassmaking heritage, as depicted in various records and artifacts related to the industry.","[""commonwealth:3f4632536"", ""commonwealth:f4755g12p"", ""commonwealth:f1884m987"", ""commonwealth:4q77js233"", ""commonwealth:ht24x067z"", ""commonwealth:8623j474p"", ""commonwealth:t722hc140"", ""commonwealth:kw52mx103"", ""commonwealth:5d86sv46d"", ""commonwealth:8623j434q""]",10,2768
24,Who was Samuel Adams and what did he do in Boston?,"The records from the Daily Evening Transcript provide insights into Boston's historical context during the early 19th century, which may include mentions of figures like Samuel Adams and events related to the American Revolution, given the paper's focus on local news in Boston, Massachusetts.","[""commonwealth:sj13f7534"", ""commonwealth:ms35zd197"", ""commonwealth:8910q2400"", ""commonwealth:7940d520v"", ""commonwealth:69703602v"", ""commonwealth:mc87tw540"", ""commonwealth:z316v867f"", ""commonwealth:08616v090"", ""commonwealth:63961d84v"", ""commonwealth:4x51nr51z""]",10,2547
25,What was the role of the Boston Navy Yard?,"The context includes various still images from the Boston Pictorial Archive and Stereograph Collection, featuring historical views of Boston, its harbors, and waterfronts, including Charlestown and East Boston. These locations are significant to naval history, which includes aspects of shipbuilding and maritime industry, especially during key periods such as the American Revolutionary War and the Civil War.","[""commonwealth:zw131w35x"", ""commonwealth:xp68km08w"", ""commonwealth:ww72c363g"", ""commonwealth:ww72c405s"", ""commonwealth:3f463g094"", ""commonwealth:xp68kk76t"", ""commonwealth:0k227t84v"", ""commonwealth:cn69mv30j"", ""commonwealth:8k71nz45q"", ""commonwealth:c821gr01h""]",10,4421
26,What was the Old State House in Boston used for?,"The Old State House, built in 1713, served as a town house, court house, state house, and city hall. It was a pivotal site leading up to the American Revolution where the Declaration of Independence was read. Notable events include the inauguration of John Hancock as the first governor. The building retains its 18th-century architecture and houses a collection of historical photographs and relics related to Boston's colonial and Revolutionary history.","[""commonwealth:fj236m882"", ""commonwealth:9593vb371"", ""commonwealth:ht24xf72h"", ""commonwealth:ht24xf70z"", ""commonwealth:bv73cd377"", ""commonwealth:bv73cd35p"", ""commonwealth:wd378h110"", ""commonwealth:st74gd35q"", ""commonwealth:mg74t7640"", ""commonwealth:mk61v7433""]",10,3134
27,Who was Paul Revere and what was his significance?,"Sorry, I couldn’t find direct answers, but here are related documents.","[""commonwealth:8623qz34j"", ""commonwealth:9p296c13h"", ""commonwealth:8s45xf964"", ""commonwealth:bk12gd95b"", ""commonwealth:c247mw257"", ""commonwealth:p267dw29t"", ""commonwealth:t435pm14m"", ""commonwealth:d504zq10q"", ""commonwealth:98812v434"", ""commonwealth:2227tq30k""]",10,2262
28,What happened at the Boston Massacre?,"The Daily Evening Transcript includes various editions from 1835 and 1835, detailing events in Boston, Massachusetts, which could reflect civic sentiment and historical background related to the Boston Massacre and colonial unrest.","[""commonwealth:fb498h57d"", ""commonwealth:rv047120x"", ""commonwealth:fx71ft91t"", ""commonwealth:05745x444"", ""commonwealth:zs262f581"", ""commonwealth:st74hx724"", ""commonwealth:tq57sw399"", ""commonwealth:3n2084676"", ""commonwealth:xs55rh56g"", ""commonwealth:fj23b781j""]",10,2997
29,Who were the Sons of Liberty?,"Sorry, I couldn’t find direct answers, but here are related documents.","[""commonwealth:0g359v62p"", ""commonwealth:1z40s744v"", ""commonwealth:qj72vm766"", ""commonwealth:g732kp92b"", ""commonwealth:hd76zf304"", ""commonwealth:zw134k35k"", ""commonwealth:zw134k349"", ""commonwealth:69704c48p"", ""commonwealth:5425rn96w"", ""commonwealth:5m60x5630""]",10,3239
30,What is Faneuil Hall’s historical significance?,"Faneuil Hall, located in Boston, Massachusetts, is a historic marketplace and civic center that has played a crucial role in American history. It is often referred to as the 'Cradle of Liberty' due to its significance as a meeting place for patriots during the American Revolution. The hall features various architectural styles from the 18th century and is depicted in numerous images across different periods, emphasizing its importance in events related to Boston's civic life. Items in collections date from as early as 1825 to the 20th century and include views of the interior and exterior, showcasing its function as a market and gathering place for citizens.","[""commonwealth:7p88cr98c"", ""commonwealth:cf95sm245"", ""commonwealth:gt54mc466"", ""commonwealth:8k71nx17b"", ""commonwealth:1831g985m"", ""commonwealth:z316sj745"", ""commonwealth:qv33ts46p"", ""commonwealth:ww72c381d"", ""commonwealth:qv33ts60h"", ""commonwealth:qv33ts58g""]",10,3719
31,What was the Big Dig and why was it significant?,Unexpected response format from model.,"[""commonwealth:2b88td718"", ""commonwealth:x633k4811"", ""commonwealth:6q186q04b"", ""commonwealth:2b88vg56r"", ""commonwealth:sj13f444j"", ""commonwealth:hh63xx35x"", ""commonwealth:mg74vp09s"", ""commonwealth:bc38bm149"", ""commonwealth:js95bm163"", ""commonwealth:5t34xp32r""]",10,6557
32,What happened at the Boston Marathon Bombings?,"Sorry, I couldn’t find direct answers, but here are related documents.","[""commonwealth:1544fr403"", ""commonwealth:4168bk58k"", ""commonwealth:pg15fh322"", ""commonwealth:5999r5012"", ""commonwealth:rb691f561"", ""commonwealth:d504vn41s"", ""commonwealth:xk81nn79f"", ""commonwealth:d217ts022"", ""commonwealth:hm50xv15q"", ""commonwealth:bn99d929q""]",10,2843
33,What was the history of the Boston Common?,"The documents detail several historical perspectives and images of Boston Common, a significant site in Boston's urban landscape, established in 1634. The collection includes items from various decades, showcasing its evolution and role in public events. Notable mentions include the 1920 image by Leon Abdalian and a 1904 view in the Boston Pictorial Archive. Boston Common is depicted as an essential public space, linking to broader themes in American urban park development.","[""commonwealth:fj237564z"", ""commonwealth:fj236n10c"", ""commonwealth:2801pn06s"", ""commonwealth:7p88d372g"", ""commonwealth:fj236n08b"", ""commonwealth:2801pm768"", ""commonwealth:8k71nz91t"", ""commonwealth:pc28fg261"", ""commonwealth:00000332w"", ""commonwealth:2801pm78t""]",10,3958
34,Why is Boston named Boston?,"The retrieved information focuses on 'The Dorchester Beacon,' a newspaper that contains multiple issues from the 1890s, referencing Boston and Dorchester in Massachusetts, providing a historical context relevant to the origins and development of the area.","[""commonwealth:2f75v935n"", ""commonwealth:d217tr10j"", ""commonwealth:hq37zn043"", ""commonwealth:zs2619891"", ""commonwealth:n0100395x"", ""commonwealth:70798855t"", ""commonwealth:0g357g46p"", ""commonwealth:x633j237w"", ""commonwealth:d791wh39r"", ""commonwealth:js959j45z""]",10,2413
35,What are some significant books written by Bostonians?,"The Daily Evening Traveller was a prominent newspaper published in Boston, Massachusetts, in the mid-19th century, with various editions released on dates such as June 25, July 5, July 28, August 8, September 3, September 14, September 27, September 29, and October 3 and 11 of 1855.","[""commonwealth:3b597j42k"", ""commonwealth:ns06bc886"", ""commonwealth:nz80d4077"", ""commonwealth:xd07q110s"", ""commonwealth:9k425n06m"", ""commonwealth:ks65qg55k"", ""commonwealth:7653f488s"", ""commonwealth:5712tb81f"", ""commonwealth:th83t2735"", ""commonwealth:0z70h2094""]",10,14175
36,What first editions are held at the Boston Public Library?,"The 'Daily Evening Traveller' is a historic newspaper from the Boston Public Library with various editions dated between January and July 1860, highlighting Boston's literary history and publications.","[""commonwealth:tq57vz014"", ""commonwealth:pk02kf39z"", ""commonwealth:td96sb20x"", ""commonwealth:4j03m633j"", ""commonwealth:k643j615f"", ""commonwealth:zw135b64r"", ""commonwealth:bc38dp363"", ""commonwealth:jd479302g"", ""commonwealth:t148np501"", ""commonwealth:8w32zc75t""]",10,3171
